Description:,"Celsius-based cooling degree days with a base temperature of 19.5 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Lagos / Ikeja, NG (3.32E,6.58N)"
Station ID:,DNMM

Month starting,CDD,% Estimated
2018-11-01,261,7
2018-12-01,293,9
2019-01-01,282,1
2019-02-01,252,1
2019-03-01,300,5
2019-04-01,285,9
2019-05-01,264,7
2019-06-01,208,2
2019-07-01,200,0.9
2019-08-01,206,0.7
2019-09-01,196,7
2019-10-01,198,0.9
